id,old_category,proposed_category,confidence,reason
dca93f88-d338-4daa-ac95-20492e8971f6,"General Silicone Moulds","Fragrance Oils","HIGH","Matched type Fragrance Oil"
ed5a9d57-5fd3-48ac-b5a9-a1e58a0f5ee6,"General Silicone Moulds","Fragrance Oils","HIGH","Matched type Fragrance Oil"
391150d9-d673-4897-b11b-cd74b53f04d4,"General Silicone Moulds","Fragrance Oils","HIGH","Matched type Fragrance Oil"
2bd494ea-b7be-47e0-b8af-37a6474ceebc,"General Silicone Moulds","Fragrance Oils","HIGH","Matched type Fragrance Oil"
b4c3aca7-c576-40d5-9f4d-2af5d3b15f7b,"General Silicone Moulds","Fragrance Oils","HIGH","Matched type Fragrance Oil"
a6c5a1f8-4d69-40f7-86b6-4b61b4756e43,"General Silicone Moulds","Fragrance Oils","HIGH","Matched type Fragrance Oil"
2e8ea2b0-09a3-4e10-a272-e48097836903,"General Silicone Moulds","Fragrance Oils","HIGH","Matched type Fragrance Oil"
b8285342-61ed-4d33-93ed-7d7c3686353d,"General Silicone Moulds","Fragrance Oils","HIGH","Matched type Fragrance Oil"
56c8739c-b6ba-4c7c-a94d-8583b8c4ad0a,"General Silicone Moulds","Fragrance Oils","HIGH","Matched type Fragrance Oil"
c5615bb4-493b-405f-87de-935e9b883aeb,"General Silicone Moulds","Fragrance Oils","HIGH","Matched type Fragrance Oil"
87c221f8-da55-4ef6-8fc1-bc5f180a4eca,"General Silicone Moulds","Fragrance Oils","HIGH","Matched type Fragrance Oil"
93efceee-61fe-4c2f-ac14-ee07d8f9e42f,"General Silicone Moulds","Fragrance Oils","HIGH","Matched type Fragrance Oil"
b488de34-c4d8-472b-9893-1634f5fa8807,"General Silicone Moulds","Fragrance Oils","HIGH","Matched type Fragrance Oil"
469a37b2-227d-443e-9d8e-8209b1369407,"Candle & Pillar Moulds","Fragrance Oils","HIGH","Matched type Fragrance Oil"
b86b0aec-9fb1-4e61-ba7f-b91395477134,"General Silicone Moulds","Fragrance Oils","HIGH","Matched type Fragrance Oil"
69008e57-f173-4274-b561-80350167d0c3,"General Silicone Moulds","Fragrance Oils","HIGH","Matched type Fragrance Oil"
48af4415-a4a2-4ec9-b69d-2f5bf68eefe5,"General Silicone Moulds","Fragrance Oils","HIGH","Matched type Fragrance Oil"
915b832b-cee5-4e24-a0ef-2dc8f1c525b7,"General Silicone Moulds","Fragrance Oils","HIGH","Matched type Fragrance Oil"
4767937b-0d3a-4dfe-bb96-aceb978d1991,"General Silicone Moulds","Fragrance Oils","HIGH","Matched type Fragrance Oil"
3666d630-f13f-4f37-8bc6-6a75778a7ae0,"General Silicone Moulds","Fragrance Oils","HIGH","Matched type Fragrance Oil"
35bea939-57e5-4fb7-b35f-276c2b1c9050,"General Silicone Moulds","Fragrance Oils","HIGH","Matched type Fragrance Oil"
72a66425-ec09-4194-b221-3afa03af5578,"General Silicone Moulds","Fragrance Oils","HIGH","Matched type Fragrance Oil"
5576671c-c423-4a19-ab9e-f4411f9ece4a,"General Silicone Moulds","Fragrance Oils","HIGH","Matched type Fragrance Oil"
84a12790-dcaa-40ad-ac02-56ca278be92d,"General Silicone Moulds","Fragrance Oils","HIGH","Matched type Fragrance Oil"
e64e4c29-2449-4b3a-8613-91702ae79db7,"General Silicone Moulds","Fragrance Oils","HIGH","Matched type Fragrance Oil"
acaf2774-3149-4006-99d5-82cad5bc584b,"General Silicone Moulds","Fragrance Oils","HIGH","Matched type Fragrance Oil"
3303b90f-9540-4433-b0c6-fb6c1cbc8901,"General Silicone Moulds","Fragrance Oils","HIGH","Matched type Fragrance Oil"
ad8e5b78-fa8c-424f-a3df-0825f24df1d2,"General Silicone Moulds","Fragrance Oils","HIGH","Matched type Fragrance Oil"
f4f6dfd2-1668-4965-82b5-7e5553fc269a,"General Silicone Moulds","Fragrance Oils","HIGH","Matched type Fragrance Oil"
a4436b9c-d3fd-40fa-96df-c5f850562de3,"General Silicone Moulds","Fragrance Oils","HIGH","Matched type Fragrance Oil"
27babee9-f021-4fc5-8e6e-0c8293b1b6f3,"General Silicone Moulds","Fragrance Oils","HIGH","Matched type Fragrance Oil"
aeae5325-fa60-452a-a5b2-03cdbbfc1737,"General Silicone Moulds","Fragrance Oils","HIGH","Matched type Fragrance Oil"
22c54c30-96e8-436a-acf0-154442e72f01,"General Silicone Moulds","Fragrance Oils","HIGH","Matched type Fragrance Oil"
8be2e1fc-6c11-4a54-96f3-111758b77df6,"General Silicone Moulds","Fragrance Oils","HIGH","Matched type Fragrance Oil"
5af23dab-182f-4c0c-8670-e1c629bcd61a,"General Silicone Moulds","Fragrance Oils","HIGH","Matched type Fragrance Oil"
